datetime,vix,vix3m
2019-01-02 15:46:00,23.22,22.75
2019-01-03 15:46:00,25.45,24.11
2019-01-04 15:46:00,21.38,21.86
2019-01-07 15:46:00,21.40,21.62
2019-01-08 15:46:00,20.47,21.14
2019-01-09 15:46:00,19.98,20.69
2019-01-10 15:46:00,19.50,20.52
2019-01-11 15:46:00,18.19,19.74
2019-01-14 15:46:00,19.07,19.93
2019-01-15 15:46:00,18.60,19.24
2019-01-16 15:46:00,19.04,19.53
2019-01-17 15:46:00,18.06,19.17
2019-01-18 15:46:00,17.80,18.84
2019-01-22 15:46:00,20.80,20.69
2019-01-23 15:46:00,19.52,20.08
2019-01-24 15:46:00,18.89,19.67
2019-01-25 15:46:00,17.42,18.82
2019-01-28 15:46:00,18.87,19.58
2019-01-29 15:46:00,19.13,19.60
2019-01-30 15:46:00,17.66,18.68
2019-01-31 15:46:00,16.57,17.88
2019-02-01 15:46:00,16.14,17.59
2019-02-04 15:46:00,15.73,17.19
2019-02-05 15:46:00,15.57,17.07
2019-02-06 15:46:00,15.38,16.90
2019-02-07 15:46:00,16.37,17.52
2019-02-08 15:46:00,15.72,17.26
2019-02-11 15:46:00,15.97,17.22
2019-02-12 15:46:00,15.43,16.82
2019-02-13 15:46:00,15.65,16.96
2019-02-14 15:46:00,16.22,17.32
2019-02-15 15:46:00,14.91,16.48
2019-02-19 15:46:00,14.88,16.45
2019-02-20 15:46:00,14.02,15.82
2019-02-21 15:46:00,14.46,16.16
2019-02-22 15:46:00,13.51,15.46
2019-02-25 15:46:00,14.85,16.00
2019-02-26 15:46:00,15.17,16.30
2019-02-27 15:46:00,14.70,15.99
2019-02-28 15:46:00,14.78,16.10
2019-03-01 15:46:00,13.57,15.38
2019-03-04 15:46:00,14.63,16.03
2019-03-05 15:46:00,14.74,16.15
2019-03-06 15:46:00,15.74,16.74
2019-03-07 15:46:00,16.59,17.30
2019-03-08 15:46:00,16.05,17.11
2019-03-11 15:46:00,14.33,16.01
2019-03-12 15:46:00,13.77,15.65
2019-03-13 15:46:00,13.41,15.33
2019-03-14 15:46:00,13.50,15.30
2019-03-15 15:46:00,12.88,14.98
2019-03-18 15:46:00,13.10,15.24
2019-03-19 15:46:00,13.56,15.56
2019-03-20 15:46:00,13.91,15.79
2019-03-21 15:46:00,13.63,15.51
2019-03-22 15:46:00,16.48,17.37
